time,q,dq,q_des,dq_des,tau_des,position_error,velocity_error,tau_cmd,tau_applied,integral_error,is_saturated
0.26,1.2340003585743575,-0.03593241931838471,1.1055,0.0,,-0.1285003585743576,0.03593241931838471,-32.4884856377133,-32.48848574211617,0.0,False
0.262,1.2338660389399343,-0.0982711498538051,1.1055,0.0,,-0.12836603893993437,0.0982711498538051,-32.25137253680947,-32.25137265536601,0.0,False
0.264,1.2336081943798523,-0.15945948683544767,1.1055,0.0,,-0.12810819437985232,0.15945948683544767,-31.986663098616667,-31.98666323097138,0.0,False
0.266,1.2332291662679065,-0.2194569190015671,1.1055,0.0,,-0.12772916626790654,0.2194569190015671,-31.69508336140625,-31.695083507196113,0.0,False
0.268,1.2327313751448965,-0.27822478716092425,1.1055,0.0,,-0.12723137514489657,0.27822478716092425,-31.37737341917395,-31.377373578028912,0.0,False
0.27,1.2321173170079054,-0.33572629076123367,1.1055,0.0,,-0.12661731700790546,0.33572629076123367,-31.034286458693558,-31.03428663023703,0.0,False
0.272,1.2313895595883766,-0.3919264925251161,1.1055,0.0,,-0.12588955958837666,0.3919264925251161,-30.66658780002218,-30.666587983871505,0.0,False
0.274,1.2305507386228274,-0.446792321181689,1.1055,0.0,,-0.12505073862282745,0.446792321181689,-30.275053941339387,-30.27505413710631,0.0,False
0.276,1.2296035541199781,-0.5002925723233196,1.1055,0.0,,-0.1241035541199782,0.5002925723233196,-29.860471608983094,-29.860471816274256,0.0,False
0.278,1.228550766628014,-0.5523979074184024,1.1055,0.0,,-0.12305076662801406,0.5523979074184024,-29.423636813524677,-29.423637031942068,0.0,False
0.28,1.2273951935056377,-0.6030808510123088,1.1055,0.0,,-0.12189519350563782,0.6030808510123088,-28.965353912706995,-28.96535414184844,0.0,False
0.28200000000000003,1.226139705200502,-0.6523157861498874,1.1055,0.0,,-0.12063970520050216,0.6523157861498874,-28.486434682047086,-28.486434921506696,0.0,False
0.28400000000000003,1.224787221538543,-0.700078948054074,1.1055,0.0,,-0.11928722153854299,0.700078948054074,-27.987697393884584,-27.987697643253224,0.0,False
0.28600000000000003,1.2233407080276684,-0.7463484160962928,1.1055,0.0,,-0.11784070802766844,0.7463484160962928,-27.469965905636137,-27.469966164501876,0.0,False
0.28800000000000003,1.221803172179181,-0.7911041040954014,1.1055,0.0,,-0.11630317217918118,0.7911041040954014,-26.934068757993288,-26.934069025941856,0.0,False
0.29,1.220177659850239,-0.8343277489829514,1.1055,0.0,,-0.11467765985023903,0.8343277489829514,-26.380838283779273,-26.380838560394505,0.0,False
0.292,1.218467251610583,-0.876002897873493,1.1055,0.0,,-0.11296725161058307,0.876002897873493,-25.811109728158076,-25.81111001302235,0.0,False
0.294,1.2166750591366844,-0.9161148935795671,1.1055,0.0,,-0.11117505913668446,0.9161148935795671,-25.225720380866147,-25.225720673560815,0.0,False
0.296,1.2148042216363772,-0.9546508586118774,1.1055,0.0,,-0.10930422163637732,0.9546508586118774,-24.625508721113228,-24.625509021219052,0.0,False
0.298,1.2128579023069685,-0.9915996777059346,1.1055,0.0,,-0.10735790230696862,0.9915996777059346,-24.01131357577676,-24.01131388287433,0.0,False
0.3,1.2108392848297282,-1.0269519789172157,1.1055,0.0,,-0.10533928482972832,1.0269519789172157,-23.383973291489507,-23.383973605159646,0.0,False
0.302,1.2087515699035813,-1.0607001133275662,1.1055,0.0,,-0.10325156990358142,1.0607001133275662,-22.74432492119732,-22.744325241021503,0.0,False
0.304,1.2065979718207338,-1.0928381334062183,1.1055,0.0,,-0.10109797182073388,1.0928381334062183,-22.093203425738935,-22.09320375129968,0.0,False
0.306,1.2043817150868814,-1.1233617700693772,1.1055,0.0,,-0.09888171508688148,1.1233617700693772,-21.43144089097674,-21.431441221858005,0.0,False
0.308,1.2021060310885576,-1.1522684084828654,1.1055,0.0,,-0.0966060310885577,1.1522684084828654,-20.759865760982372,-20.759866096769933,0.0,False
0.31,1.1997741548100913,-1.1795570626527887,1.1055,0.0,,-0.09427415481009138,1.1795570626527887,-20.079302087757466,-20.0793024280393,0.0,False
0.312,1.197389321602552,-1.2052283488496207,1.1055,0.0,,-0.09188932160255203,1.2052283488496207,-19.39056879794514,-19.390569142311783,0.0,False
